rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/explained_variance,train/value_loss,train/loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/clip_range
-184.11999999999998,5,360,1,2048,400.0,,,,,,,,,,
-177.51999999999998,14,281,2,4096,400.0,-0.017591030738549306,0.0108304545,10,0.028138577938079834,9.346491396427155,2.000746011734009,0.0003,-1.376803430914879,0.14521484375,0.2
-174.42,22,269,3,6144,400.0,-0.008416921913158149,0.007916024,20,0.4977900981903076,14.489329236745835,1.7257589101791382,0.0003,-1.368339754641056,0.062744140625,0.2
-175.555,30,269,4,8192,400.0,-0.01283432140480727,0.012720924,30,0.7636193037033081,13.013985896110535,1.921451210975647,0.0003,-1.367754864692688,0.1376953125,0.2
-174.56800000000004,36,278,5,10240,400.0,-0.011028703127522022,0.009178394,40,0.8098565936088562,9.787373024225236,1.4053877592086792,0.0003,-1.3570962250232697,0.077001953125,0.2
-172.11,43,280,6,12288,400.0,-0.01177424160996452,0.00905356,50,0.8696013689041138,8.399644079804421,1.8626500368118286,0.0003,-1.3430674120783805,0.100244140625,0.2
-173.5,51,279,7,14336,400.0,-0.011761079472489656,0.009879723,60,0.931553840637207,6.615412403643131,1.1087530851364136,0.0003,-1.3370151862502098,0.09072265625,0.2
-173.395,59,277,8,16384,400.0,-0.01003376609296538,0.011295357,70,0.8725316524505615,7.072983384132385,1.0362107753753662,0.0003,-1.3256693616509438,0.139453125,0.2
-171.09347826086957,66,275,9,18432,400.0,-0.011568477164837531,0.010661716,80,0.9256067872047424,6.248709595203399,0.9197025299072266,0.0003,-1.3151355981826782,0.134912109375,0.2
-172.25294117647059,73,279,10,20480,400.0,-0.012016623637464363,0.0119100325,90,0.9485857486724854,4.869649937748909,0.922849714756012,0.0003,-1.3033991128206253,0.13076171875,0.2
