rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_range,train/approx_kl,train/loss,train/value_loss,train/learning_rate
175.72727272727272,2,-92.9590909090909,2048,1,915,,,,,,,,,,
182.5,5,-100.53863636363636,4096,2,709,0.047900390625,-0.008182768878759817,0.0053479671478271484,10,-1.3798525601625442,0.2,0.006179587,5.259747505187988,16.164767110347746,0.0003
179.52941176470588,9,-97.50882352941177,6144,3,646,0.067431640625,-0.006573182757711038,0.3730810284614563,20,-1.3780895233154298,0.2,0.006302139,4.1738433837890625,17.277384385466576,0.0003
175.43478260869566,13,-92.44347826086958,8192,4,625,0.050634765625,-0.004359963169554249,0.09510582685470581,30,-1.3676599696278573,0.2,0.008638758,11.014945983886719,38.18495278358459,0.0003
175.17241379310346,16,-92.91206896551725,10240,5,610,0.061865234375,-0.004456334028509446,0.09818363189697266,40,-1.3600999772548676,0.2,0.009646261,13.073692321777344,43.855119299888614,0.0003
171.01408450704224,20,-89.33661971830986,12288,6,599,0.088134765625,-0.006936038538697176,0.39219313859939575,50,-1.3667793199419975,0.2,0.010170771,7.9765777587890625,24.297721493244172,0.0003
170.63855421686748,23,-89.50783132530121,14336,7,597,0.10244140625,-0.009112851897953078,0.4111061096191406,60,-1.355298364162445,0.2,0.009903308,11.863497734069824,29.74869748353958,0.0003
173.60638297872342,27,-92.76542553191489,16384,8,597,0.049462890625,-0.007245901468559168,0.1970282793045044,70,-1.361262460052967,0.2,0.0056975503,7.493095874786377,40.00467858314514,0.0003
169.42,30,-89.434,18432,9,597,0.103173828125,-0.006846200983272865,0.6285526752471924,80,-1.355710932612419,0.2,0.011786632,4.144294738769531,22.83569755554199,0.0003
165.7,34,-86.335,20480,10,596,0.049365234375,-0.004067693126853555,0.2776336073875427,90,-1.3621866807341576,0.2,0.008303392,16.558256149291992,54.3850878238678,0.0003
163.2,37,-84.365,22528,11,597,0.040087890625,-0.006805325704044662,0.510929524898529,100,-1.3575940907001496,0.2,0.0062464112,8.346955299377441,33.09841613769531,0.0003
161.85,41,-84.3005,24576,12,598,0.02021484375,-0.003959838712762576,0.5126318335533142,110,-1.3594802558422088,0.2,0.005005249,8.344165802001953,31.854747664928436,0.0003
