episode,coverage,steps,full_coverage
1,0.715909,400,0
2,1.000000,324,1
3,0.954545,400,0
4,0.965909,400,0
5,0.988636,400,0
6,0.931818,400,0
7,0.988636,400,0
8,0.988636,400,0
9,1.000000,241,1
10,1.000000,362,1
11,0.965909,400,0
12,0.988636,400,0
13,0.988636,400,0
14,0.954545,400,0
15,0.943182,400,0
16,0.965909,400,0
17,0.965909,400,0
18,0.954545,400,0
19,0.977273,400,0
20,0.954545,400,0
21,0.011364,400,0
22,0.965909,400,0
23,0.954545,400,0
24,1.000000,223,1
25,0.965909,400,0
26,0.943182,400,0
27,0.988636,400,0
28,0.988636,400,0
29,1.000000,299,1
30,0.954545,400,0
31,0.988636,400,0
32,1.000000,390,1
33,0.931818,400,0
34,0.977273,400,0
35,0.954545,400,0
36,0.965909,400,0
37,0.965909,400,0
38,0.988636,400,0
39,0.965909,400,0
40,1.000000,220,1
41,0.977273,400,0
42,0.977273,400,0
43,0.886364,400,0
44,0.920455,400,0
45,0.977273,400,0
46,0.977273,400,0
47,0.988636,400,0
48,0.965909,400,0
49,0.965909,400,0
50,0.954545,400,0
51,0.954545,400,0
52,0.988636,400,0
53,0.988636,400,0
54,0.977273,400,0
55,0.965909,400,0
56,0.988636,400,0
57,0.977273,400,0
58,0.988636,400,0
59,0.988636,400,0
60,0.977273,400,0
61,0.965909,400,0
62,0.977273,400,0
63,0.977273,400,0
64,0.965909,400,0
65,0.988636,400,0
66,0.988636,400,0
67,0.977273,400,0
68,0.977273,400,0
69,0.977273,400,0
70,0.750000,400,0
71,0.943182,400,0
72,1.000000,212,1
73,0.954545,400,0
74,0.965909,400,0
75,0.988636,400,0
76,0.965909,400,0
77,0.375000,400,0
78,0.943182,400,0
79,0.954545,400,0
80,0.977273,400,0
81,0.977273,400,0
82,1.000000,191,1
83,0.965909,400,0
84,0.954545,400,0
85,0.977273,400,0
86,0.965909,400,0
87,0.965909,400,0
88,0.965909,400,0
89,0.977273,400,0
90,0.909091,400,0
91,0.977273,400,0
92,0.988636,400,0
93,0.977273,400,0
94,0.965909,400,0
95,0.488636,400,0
96,0.988636,400,0
97,0.977273,400,0
98,0.977273,400,0
99,1.000000,261,1
100,0.988636,400,0
